Jun 11, 2023	01.03.13
Nov 24, 2018	01.03.47
May 06, 2018	01.04.22
Jan 27, 2018	01.04.59
Oct 28, 2017	01.04.59
Sep 02, 2017	01.04.69
Dec 11, 2016	01.04.73
Nov 05, 2016	01.04.74
Nov 21, 2015	01.04.90
Apr 25, 2015	01.05.25
Mar 02, 2013	01.05.55
Jun 25, 2011	01.05.66
Jun 25, 2011	01.06.18
May 07, 2011	01.06.24
May 07, 2011	01.06.65
Jan 29, 2011	01.06.65
Nov 13, 2010	01.06.77
Nov 13, 2010	07.03.24
Jul 12, 2008	07.08.24
May 05, 2008	01.08.72
May 05, 2008	01.08.72
Feb 23, 2008	01.09.18
Nov 24, 2007	01.09.55
Oct 13, 2007	01.09.77
May 05, 2007	01.09.86
Feb 24, 2007	01.10.36
Aug 04, 2006	01.10.48
Jan 14, 2006	01.11.13
Oct 16, 2005	01.11.75
Apr 03, 2004	12.11.24
Apr 03, 2004	13.93
Jan 24, 2004	14.76
Jan 24, 2004	15.07.24
Aug 23, 2003	16.53
Aug 23, 2003	16.71
Jun 05, 1982	22.95
